nrKilled,nrWound,year,country,group,attack,target,weapon
0,0,2005,United Kingdom,Abu Hafs al-Masri Brigades,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
0,0,2005,United Kingdom,Abu Hafs al-Masri Brigades,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
0,0,2005,United Kingdom,Abu Hafs al-Masri Brigades,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
0,0,2005,United Kingdom,Abu Hafs al-Masri Brigades,Bombing/Explosion,Transportation,Explosives/Bombs/Dynamite
0,1,1982,United Kingdom,Abu Nidal Organization (ANO),Assassination,Government (Diplomatic),Firearms
0,0,2014,United Kingdom,Anarchists,Facility/Infrastructure Attack,Business,Incendiary
0,0,2014,United Kingdom,Anarchists,Facility/Infrastructure Attack,Business,Incendiary
0,0,2014,United Kingdom,Anarchists,Facility/Infrastructure Attack,Business,Incendiary
0,0,2014,United Kingdom,Anarchists,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
0,0,2014,United Kingdom,Anarchists,Facility/Infrastructure Attack,Police,Incendiary
0,0,1984,United Kingdom,Animal Liberation Front (ALF),Unarmed Assault,Private Citizens & Property,Chemical
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Unknown
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Unknown
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Assassination,Educational Institution,Explosives/Bombs/Dynamite
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
0,0,1988,United Kingdom,Animal Liberation Front (ALF),Facility/Infrastructure Attack,Business,Incendiary
